P1,P2,Surface,PointServer,PointWinner,P1Score,P2Score,SetNo
Jarkko Nieminen,Lleyton Hewitt,hard,2,1,40,15,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,40,30,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,40,40,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,1,AD,40,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,40,40,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,40,AD,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,1,40,40,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,40,AD,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,0,0,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,2,0,15,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,1,15,15,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,1,30,15,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,1,40,15,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,1,0,0,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,0,15,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,0,30,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,0,40,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,0,0,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,1,15,0,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,1,30,0,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,1,40,0,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,2,40,15,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,2,40,30,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,1,0,0,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,0,15,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,0,30,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,0,40,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,1,15,40,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,1,30,40,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,0,0,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,2,0,15,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,1,15,15,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,2,15,30,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,1,30,30,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,1,40,30,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,1,0,0,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,1,15,0,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,15,15,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,15,30,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,15,40,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,0,0,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,2,0,15,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,1,15,15,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,1,30,15,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,1,40,15,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,1,0,0,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,1,15,0,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,1,30,0,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,30,15,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,30,30,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,30,40,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,1,40,40,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,40,AD,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,0,0,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,1,15,0,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,2,15,15,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,1,30,15,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,1,40,15,5
Jarkko Nieminen,Lleyton Hewitt,hard,1,1,0,0,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,0,15,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,0,30,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,1,15,30,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,1,30,30,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,2,30,40,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,1,40,40,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,1,AD,40,5
Jarkko Nieminen,Lleyton Hewitt,hard,2,1,0,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,15,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,30,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,30,15,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,30,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,30,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,40,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,AD,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,0,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,0,15,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,0,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,15,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,15,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,0,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,0,15,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,0,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,15,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,15,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,0,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,0,15,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,15,15,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,15,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,15,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,0,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,15,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,15,15,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,15,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,15,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,30,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,40,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,AD,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,0,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,15,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,15,15,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,30,15,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,30,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,40,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,40,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,40,AD,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,0,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,15,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,15,15,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,15,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,30,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,40,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,40,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,40,AD,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,40,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,40,AD,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,40,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,40,AD,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,40,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,40,AD,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,40,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,AD,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,0,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,0,15,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,0,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,0,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,15,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,30,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,40,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,AD,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,0,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,0,15,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,15,15,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,15,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,30,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,40,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,0,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,0,15,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,0,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,0,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,15,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,0,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,15,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,30,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,30,15,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,40,15,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,0,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,0,15,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,0,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,15,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,30,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,30,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,0,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,15,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,30,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,40,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,40,15,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,0,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,0,15,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,15,15,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,15,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,30,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,40,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,40,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,40,AD,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,0,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,15,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,15,15,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,2,15,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,30,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,40,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,0,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,15,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,30,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,30,15,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,30,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,30,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,0,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,15,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,30,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,40,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,1,1,0,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,15,0,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,15,15,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,15,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,30,30,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,30,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,40,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,AD,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,2,40,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,AD,40,5
Pierre Hugues Herbert,Hyeon Chung,hard,2,1,0,0,5
Jan Lennard Struff,Bernard Tomic,hard,2,2,0,15,5
Jan Lennard Struff,Bernard Tomic,hard,2,2,0,30,5
Jan Lennard Struff,Bernard Tomic,hard,2,2,0,40,5
Jan Lennard Struff,Bernard Tomic,hard,2,2,0,0,5
Jan Lennard Struff,Bernard Tomic,hard,1,2,0,15,5
Jan Lennard Struff,Bernard Tomic,hard,1,1,15,15,5
Jan Lennard Struff,Bernard Tomic,hard,1,1,30,15,5
Jan Lennard Struff,Bernard Tomic,hard,1,2,30,30,5
Jan Lennard Struff,Bernard Tomic,hard,1,1,40,30,5
Jan Lennard Struff,Bernard Tomic,hard,1,1,0,0,5
Jan Lennard Struff,Bernard Tomic,hard,2,1,15,0,5
Jan Lennard Struff,Bernard Tomic,hard,2,2,15,15,5
Jan Lennard Struff,Bernard Tomic,hard,2,2,15,30,5
Jan Lennard Struff,Bernard Tomic,hard,2,2,15,40,5
Jan Lennard Struff,Bernard Tomic,hard,2,2,0,0,5
Jan Lennard Struff,Bernard Tomic,hard,1,2,0,15,5
Jan Lennard Struff,Bernard Tomic,hard,1,2,0,30,5
Jan Lennard Struff,Bernard Tomic,hard,1,2,0,40,5
Jan Lennard Struff,Bernard Tomic,hard,1,1,15,40,5
Jan Lennard Struff,Bernard Tomic,hard,1,1,30,40,5
Jan Lennard Struff,Bernard Tomic,hard,1,2,0,0,5
Jan Lennard Struff,Bernard Tomic,hard,2,2,0,15,5
Jan Lennard Struff,Bernard Tomic,hard,2,1,15,15,5
Jan Lennard Struff,Bernard Tomic,hard,2,2,15,30,5
Jan Lennard Struff,Bernard Tomic,hard,2,2,15,40,5
Jan Lennard Struff,Bernard Tomic,hard,2,2,0,0,5
Jan Lennard Struff,Bernard Tomic,hard,1,2,0,15,5
Jan Lennard Struff,Bernard Tomic,hard,1,1,15,15,5
Jan Lennard Struff,Bernard Tomic,hard,1,2,15,30,5
Jan Lennard Struff,Bernard Tomic,hard,1,1,30,30,5
Jan Lennard Struff,Bernard Tomic,hard,1,1,40,30,5
Jan Lennard Struff,Bernard Tomic,hard,1,2,40,40,5
Jan Lennard Struff,Bernard Tomic,hard,1,1,AD,40,5
Jan Lennard Struff,Bernard Tomic,hard,1,1,0,0,5
Jan Lennard Struff,Bernard Tomic,hard,2,1,15,0,5
Jan Lennard Struff,Bernard Tomic,hard,2,2,15,15,5
Jan Lennard Struff,Bernard Tomic,hard,2,1,30,15,5
Jan Lennard Struff,Bernard Tomic,hard,2,2,30,30,5
Jan Lennard Struff,Bernard Tomic,hard,2,2,30,40,5
Jan Lennard Struff,Bernard Tomic,hard,2,2,0,0,5
Jan Lennard Struff,Bernard Tomic,hard,1,2,0,15,5
Jan Lennard Struff,Bernard Tomic,hard,1,1,15,15,5
Jan Lennard Struff,Bernard Tomic,hard,1,1,30,15,5
Jan Lennard Struff,Bernard Tomic,hard,1,1,40,15,5
Jan Lennard Struff,Bernard Tomic,hard,1,1,0,0,5
Jan Lennard Struff,Bernard Tomic,hard,2,1,15,0,5
Jan Lennard Struff,Bernard Tomic,hard,2,2,15,15,5
Jan Lennard Struff,Bernard Tomic,hard,2,1,30,15,5
Jan Lennard Struff,Bernard Tomic,hard,2,2,30,30,5
Jan Lennard Struff,Bernard Tomic,hard,2,2,30,40,5
Jan Lennard Struff,Bernard Tomic,hard,2,1,40,40,5
Jan Lennard Struff,Bernard Tomic,hard,2,2,40,AD,5
Jan Lennard Struff,Bernard Tomic,hard,2,2,0,0,5
Pablo Cuevas,Denis Kudla,hard,1,1,15,0,5
Pablo Cuevas,Denis Kudla,hard,1,2,15,15,5
Pablo Cuevas,Denis Kudla,hard,1,1,30,15,5
Pablo Cuevas,Denis Kudla,hard,1,1,40,15,5
Pablo Cuevas,Denis Kudla,hard,1,1,0,0,5
Pablo Cuevas,Denis Kudla,hard,2,1,15,0,5
Pablo Cuevas,Denis Kudla,hard,2,2,15,15,5
Pablo Cuevas,Denis Kudla,hard,2,2,15,30,5
Pablo Cuevas,Denis Kudla,hard,2,2,15,40,5
Pablo Cuevas,Denis Kudla,hard,2,1,30,40,5
Pablo Cuevas,Denis Kudla,hard,2,2,0,0,5
Pablo Cuevas,Denis Kudla,hard,1,2,0,15,5
Pablo Cuevas,Denis Kudla,hard,1,2,0,30,5
Pablo Cuevas,Denis Kudla,hard,1,2,0,40,5
Pablo Cuevas,Denis Kudla,hard,1,1,15,40,5
Pablo Cuevas,Denis Kudla,hard,1,2,0,0,5
Pablo Cuevas,Denis Kudla,hard,2,2,0,15,5
Pablo Cuevas,Denis Kudla,hard,2,1,15,15,5
Pablo Cuevas,Denis Kudla,hard,2,2,15,30,5
Pablo Cuevas,Denis Kudla,hard,2,2,15,40,5
Pablo Cuevas,Denis Kudla,hard,2,1,30,40,5
Pablo Cuevas,Denis Kudla,hard,2,2,0,0,5
Pablo Cuevas,Denis Kudla,hard,1,2,0,15,5
Pablo Cuevas,Denis Kudla,hard,1,2,0,30,5
Pablo Cuevas,Denis Kudla,hard,1,1,15,30,5
Pablo Cuevas,Denis Kudla,hard,1,2,15,40,5
Pablo Cuevas,Denis Kudla,hard,1,1,30,40,5
Pablo Cuevas,Denis Kudla,hard,1,1,40,40,5
Pablo Cuevas,Denis Kudla,hard,1,1,AD,40,5
Pablo Cuevas,Denis Kudla,hard,1,1,0,0,5
Pablo Cuevas,Denis Kudla,hard,2,2,0,15,5
Pablo Cuevas,Denis Kudla,hard,2,1,15,15,5
Pablo Cuevas,Denis Kudla,hard,2,2,15,30,5
Pablo Cuevas,Denis Kudla,hard,2,1,30,30,5
Pablo Cuevas,Denis Kudla,hard,2,2,30,40,5
Pablo Cuevas,Denis Kudla,hard,2,2,0,0,5
Pablo Cuevas,Denis Kudla,hard,1,1,15,0,5
Pablo Cuevas,Denis Kudla,hard,1,2,15,15,5
Pablo Cuevas,Denis Kudla,hard,1,2,15,30,5
Pablo Cuevas,Denis Kudla,hard,1,1,30,30,5
Pablo Cuevas,Denis Kudla,hard,1,2,30,40,5
Pablo Cuevas,Denis Kudla,hard,1,2,0,0,5
Pablo Cuevas,Denis Kudla,hard,2,1,15,0,5
Pablo Cuevas,Denis Kudla,hard,2,2,15,15,5
Pablo Cuevas,Denis Kudla,hard,2,1,30,15,5
Pablo Cuevas,Denis Kudla,hard,2,1,40,15,5
Pablo Cuevas,Denis Kudla,hard,2,2,40,30,5
Pablo Cuevas,Denis Kudla,hard,2,2,40,40,5
Pablo Cuevas,Denis Kudla,hard,2,2,40,AD,5
Pablo Cuevas,Denis Kudla,hard,2,2,0,0,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,0,15,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,0,30,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,1,15,30,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,1,30,30,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,30,40,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,1,40,40,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,40,AD,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,0,0,5
Teymuraz Gabashvili,Alexander Zverev,hard,1,1,15,0,5
Teymuraz Gabashvili,Alexander Zverev,hard,1,1,30,0,5
Teymuraz Gabashvili,Alexander Zverev,hard,1,1,40,0,5
Teymuraz Gabashvili,Alexander Zverev,hard,1,1,0,0,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,0,15,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,0,30,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,1,15,30,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,15,40,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,0,0,5
Teymuraz Gabashvili,Alexander Zverev,hard,1,1,15,0,5
Teymuraz Gabashvili,Alexander Zverev,hard,1,2,15,15,5
Teymuraz Gabashvili,Alexander Zverev,hard,1,1,30,15,5
Teymuraz Gabashvili,Alexander Zverev,hard,1,1,40,15,5
Teymuraz Gabashvili,Alexander Zverev,hard,1,1,0,0,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,1,15,0,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,15,15,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,15,30,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,15,40,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,0,0,5
Teymuraz Gabashvili,Alexander Zverev,hard,1,2,0,15,5
Teymuraz Gabashvili,Alexander Zverev,hard,1,1,15,15,5
Teymuraz Gabashvili,Alexander Zverev,hard,1,1,30,15,5
Teymuraz Gabashvili,Alexander Zverev,hard,1,1,40,15,5
Teymuraz Gabashvili,Alexander Zverev,hard,1,1,0,0,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,0,15,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,1,15,15,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,15,30,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,15,40,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,1,30,40,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,1,40,40,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,1,AD,40,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,40,40,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,40,AD,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,0,0,5
Teymuraz Gabashvili,Alexander Zverev,hard,1,1,15,0,5
Teymuraz Gabashvili,Alexander Zverev,hard,1,2,15,15,5
Teymuraz Gabashvili,Alexander Zverev,hard,1,2,15,30,5
Teymuraz Gabashvili,Alexander Zverev,hard,1,1,30,30,5
Teymuraz Gabashvili,Alexander Zverev,hard,1,1,40,30,5
Teymuraz Gabashvili,Alexander Zverev,hard,1,1,0,0,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,1,15,0,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,1,30,0,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,30,15,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,1,40,15,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,40,30,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,40,40,5
Teymuraz Gabashvili,Alexander Zverev,hard,2,2,40,AD,5
