P1,P2,Surface,PointServer,PointWinner,P1Score,P2Score,SetNo
C Ruud,A Davidovich Fokina,clay,2,1,15,0,5
C Ruud,A Davidovich Fokina,clay,2,2,15,15,5
C Ruud,A Davidovich Fokina,clay,2,2,15,30,5
C Ruud,A Davidovich Fokina,clay,2,2,15,40,5
C Ruud,A Davidovich Fokina,clay,2,2,15,GAME,5
C Ruud,A Davidovich Fokina,clay,1,1,15,0,5
C Ruud,A Davidovich Fokina,clay,1,2,15,15,5
C Ruud,A Davidovich Fokina,clay,1,1,30,15,5
C Ruud,A Davidovich Fokina,clay,1,1,40,15,5
C Ruud,A Davidovich Fokina,clay,1,2,40,30,5
C Ruud,A Davidovich Fokina,clay,1,1,GAME,30,5
C Ruud,A Davidovich Fokina,clay,2,1,15,0,5
C Ruud,A Davidovich Fokina,clay,2,2,15,15,5
C Ruud,A Davidovich Fokina,clay,2,2,15,30,5
C Ruud,A Davidovich Fokina,clay,2,2,15,40,5
C Ruud,A Davidovich Fokina,clay,2,1,30,40,5
C Ruud,A Davidovich Fokina,clay,2,2,30,GAME,5
C Ruud,A Davidovich Fokina,clay,1,2,0,15,5
C Ruud,A Davidovich Fokina,clay,1,1,15,15,5
C Ruud,A Davidovich Fokina,clay,1,2,15,30,5
C Ruud,A Davidovich Fokina,clay,1,2,15,40,5
C Ruud,A Davidovich Fokina,clay,1,1,30,40,5
C Ruud,A Davidovich Fokina,clay,1,1,40,40,5
C Ruud,A Davidovich Fokina,clay,1,1,AD,40,5
C Ruud,A Davidovich Fokina,clay,1,2,40,40,5
C Ruud,A Davidovich Fokina,clay,1,2,40,AD,5
C Ruud,A Davidovich Fokina,clay,1,1,40,40,5
C Ruud,A Davidovich Fokina,clay,1,2,40,AD,5
C Ruud,A Davidovich Fokina,clay,1,2,40,GAME,5
C Ruud,A Davidovich Fokina,clay,2,1,15,0,5
C Ruud,A Davidovich Fokina,clay,2,2,15,15,5
C Ruud,A Davidovich Fokina,clay,2,1,30,15,5
C Ruud,A Davidovich Fokina,clay,2,2,30,30,5
C Ruud,A Davidovich Fokina,clay,2,1,40,30,5
C Ruud,A Davidovich Fokina,clay,2,2,40,40,5
C Ruud,A Davidovich Fokina,clay,2,2,40,AD,5
C Ruud,A Davidovich Fokina,clay,2,1,40,40,5
C Ruud,A Davidovich Fokina,clay,2,1,AD,40,5
C Ruud,A Davidovich Fokina,clay,2,2,40,40,5
C Ruud,A Davidovich Fokina,clay,2,2,40,AD,5
C Ruud,A Davidovich Fokina,clay,2,1,40,40,5
C Ruud,A Davidovich Fokina,clay,2,2,40,AD,5
C Ruud,A Davidovich Fokina,clay,2,1,40,40,5
C Ruud,A Davidovich Fokina,clay,2,2,40,AD,5
C Ruud,A Davidovich Fokina,clay,2,1,40,40,5
C Ruud,A Davidovich Fokina,clay,2,1,AD,40,5
C Ruud,A Davidovich Fokina,clay,2,2,40,40,5
C Ruud,A Davidovich Fokina,clay,2,1,AD,40,5
C Ruud,A Davidovich Fokina,clay,2,2,40,40,5
C Ruud,A Davidovich Fokina,clay,2,2,40,AD,5
C Ruud,A Davidovich Fokina,clay,2,2,40,GAME,5
N Djokovic,L Musetti,clay,2,1,15,0,5
N Djokovic,L Musetti,clay,2,2,15,15,5
N Djokovic,L Musetti,clay,2,1,30,15,5
N Djokovic,L Musetti,clay,2,1,40,15,5
N Djokovic,L Musetti,clay,2,1,GAME,15,5
N Djokovic,L Musetti,clay,1,2,0,15,5
N Djokovic,L Musetti,clay,1,1,15,15,5
N Djokovic,L Musetti,clay,1,1,30,15,5
N Djokovic,L Musetti,clay,1,1,40,15,5
N Djokovic,L Musetti,clay,1,1,GAME,15,5
N Djokovic,L Musetti,clay,2,2,0,15,5
N Djokovic,L Musetti,clay,2,1,15,15,5
N Djokovic,L Musetti,clay,2,1,30,15,5
N Djokovic,L Musetti,clay,2,1,40,15,5
N Djokovic,L Musetti,clay,2,1,GAME,15,5
N Djokovic,L Musetti,clay,1,1,15,0,5
N Djokovic,L Musetti,clay,1,2,15,15,5
N Djokovic,L Musetti,clay,1,1,30,15,5
N Djokovic,L Musetti,clay,1,1,40,15,5
N Djokovic,L Musetti,clay,1,1,GAME,15,5
A Zverev,S Tsitsipas,clay,2,1,15,0,5
A Zverev,S Tsitsipas,clay,2,1,30,0,5
A Zverev,S Tsitsipas,clay,2,1,40,0,5
A Zverev,S Tsitsipas,clay,2,2,40,15,5
A Zverev,S Tsitsipas,clay,2,2,40,30,5
A Zverev,S Tsitsipas,clay,2,2,40,40,5
A Zverev,S Tsitsipas,clay,2,2,40,AD,5
A Zverev,S Tsitsipas,clay,2,2,40,GAME,5
A Zverev,S Tsitsipas,clay,1,1,15,0,5
A Zverev,S Tsitsipas,clay,1,1,30,0,5
A Zverev,S Tsitsipas,clay,1,1,40,0,5
A Zverev,S Tsitsipas,clay,1,2,40,15,5
A Zverev,S Tsitsipas,clay,1,2,40,30,5
A Zverev,S Tsitsipas,clay,1,1,GAME,30,5
A Zverev,S Tsitsipas,clay,2,2,0,15,5
A Zverev,S Tsitsipas,clay,2,2,0,30,5
A Zverev,S Tsitsipas,clay,2,2,0,40,5
A Zverev,S Tsitsipas,clay,2,2,0,GAME,5
A Zverev,S Tsitsipas,clay,1,1,15,0,5
A Zverev,S Tsitsipas,clay,1,2,15,15,5
A Zverev,S Tsitsipas,clay,1,1,30,15,5
A Zverev,S Tsitsipas,clay,1,2,30,30,5
A Zverev,S Tsitsipas,clay,1,2,30,40,5
A Zverev,S Tsitsipas,clay,1,2,30,GAME,5
A Zverev,S Tsitsipas,clay,2,1,15,0,5
A Zverev,S Tsitsipas,clay,2,2,15,15,5
A Zverev,S Tsitsipas,clay,2,1,30,15,5
A Zverev,S Tsitsipas,clay,2,2,30,30,5
A Zverev,S Tsitsipas,clay,2,2,30,40,5
A Zverev,S Tsitsipas,clay,2,2,30,GAME,5
A Zverev,S Tsitsipas,clay,1,1,15,0,5
A Zverev,S Tsitsipas,clay,1,1,30,0,5
A Zverev,S Tsitsipas,clay,1,1,40,0,5
A Zverev,S Tsitsipas,clay,1,2,40,15,5
A Zverev,S Tsitsipas,clay,1,1,GAME,15,5
A Zverev,S Tsitsipas,clay,2,2,0,15,5
A Zverev,S Tsitsipas,clay,2,2,0,30,5
A Zverev,S Tsitsipas,clay,2,2,0,40,5
A Zverev,S Tsitsipas,clay,2,1,15,40,5
A Zverev,S Tsitsipas,clay,2,2,15,GAME,5
A Zverev,S Tsitsipas,clay,1,1,15,0,5
A Zverev,S Tsitsipas,clay,1,2,15,15,5
A Zverev,S Tsitsipas,clay,1,2,15,30,5
A Zverev,S Tsitsipas,clay,1,2,15,40,5
A Zverev,S Tsitsipas,clay,1,1,30,40,5
A Zverev,S Tsitsipas,clay,1,1,40,40,5
A Zverev,S Tsitsipas,clay,1,2,40,AD,5
A Zverev,S Tsitsipas,clay,1,1,40,40,5
A Zverev,S Tsitsipas,clay,1,2,40,AD,5
A Zverev,S Tsitsipas,clay,1,1,40,40,5
A Zverev,S Tsitsipas,clay,1,1,AD,40,5
A Zverev,S Tsitsipas,clay,1,2,40,40,5
A Zverev,S Tsitsipas,clay,1,1,AD,40,5
A Zverev,S Tsitsipas,clay,1,1,GAME,40,5
A Zverev,S Tsitsipas,clay,2,1,15,0,5
A Zverev,S Tsitsipas,clay,2,2,15,15,5
A Zverev,S Tsitsipas,clay,2,2,15,30,5
A Zverev,S Tsitsipas,clay,2,2,15,40,5
A Zverev,S Tsitsipas,clay,2,2,15,GAME,5
N Djokovic,S Tsitsipas,clay,2,1,15,0,5
N Djokovic,S Tsitsipas,clay,2,1,30,0,5
N Djokovic,S Tsitsipas,clay,2,2,30,15,5
N Djokovic,S Tsitsipas,clay,2,2,30,30,5
N Djokovic,S Tsitsipas,clay,2,1,40,30,5
N Djokovic,S Tsitsipas,clay,2,2,40,40,5
N Djokovic,S Tsitsipas,clay,2,2,40,AD,5
N Djokovic,S Tsitsipas,clay,2,1,40,40,5
N Djokovic,S Tsitsipas,clay,2,2,40,AD,5
N Djokovic,S Tsitsipas,clay,2,2,40,GAME,5
N Djokovic,S Tsitsipas,clay,1,1,15,0,5
N Djokovic,S Tsitsipas,clay,1,1,30,0,5
N Djokovic,S Tsitsipas,clay,1,2,30,15,5
N Djokovic,S Tsitsipas,clay,1,1,40,15,5
N Djokovic,S Tsitsipas,clay,1,2,40,30,5
N Djokovic,S Tsitsipas,clay,1,1,GAME,30,5
N Djokovic,S Tsitsipas,clay,2,2,0,15,5
N Djokovic,S Tsitsipas,clay,2,1,15,15,5
N Djokovic,S Tsitsipas,clay,2,1,30,15,5
N Djokovic,S Tsitsipas,clay,2,2,30,30,5
N Djokovic,S Tsitsipas,clay,2,2,30,40,5
N Djokovic,S Tsitsipas,clay,2,1,40,40,5
N Djokovic,S Tsitsipas,clay,2,2,40,AD,5
N Djokovic,S Tsitsipas,clay,2,1,40,40,5
N Djokovic,S Tsitsipas,clay,2,1,AD,40,5
N Djokovic,S Tsitsipas,clay,2,1,GAME,40,5
N Djokovic,S Tsitsipas,clay,1,1,15,0,5
N Djokovic,S Tsitsipas,clay,1,1,30,0,5
N Djokovic,S Tsitsipas,clay,1,1,40,0,5
N Djokovic,S Tsitsipas,clay,1,1,GAME,0,5
N Djokovic,S Tsitsipas,clay,2,2,0,15,5
N Djokovic,S Tsitsipas,clay,2,2,0,30,5
N Djokovic,S Tsitsipas,clay,2,1,15,30,5
N Djokovic,S Tsitsipas,clay,2,1,30,30,5
N Djokovic,S Tsitsipas,clay,2,2,30,40,5
N Djokovic,S Tsitsipas,clay,2,2,30,GAME,5
N Djokovic,S Tsitsipas,clay,1,2,0,15,5
N Djokovic,S Tsitsipas,clay,1,1,15,15,5
N Djokovic,S Tsitsipas,clay,1,1,30,15,5
N Djokovic,S Tsitsipas,clay,1,1,40,15,5
N Djokovic,S Tsitsipas,clay,1,1,GAME,15,5
N Djokovic,S Tsitsipas,clay,2,2,0,15,5
N Djokovic,S Tsitsipas,clay,2,1,15,15,5
N Djokovic,S Tsitsipas,clay,2,1,30,15,5
N Djokovic,S Tsitsipas,clay,2,1,40,15,5
N Djokovic,S Tsitsipas,clay,2,2,40,30,5
N Djokovic,S Tsitsipas,clay,2,2,40,40,5
N Djokovic,S Tsitsipas,clay,2,2,40,AD,5
N Djokovic,S Tsitsipas,clay,2,2,40,GAME,5
N Djokovic,S Tsitsipas,clay,1,1,15,0,5
N Djokovic,S Tsitsipas,clay,1,1,30,0,5
N Djokovic,S Tsitsipas,clay,1,1,40,0,5
N Djokovic,S Tsitsipas,clay,1,1,GAME,0,5
N Djokovic,S Tsitsipas,clay,2,2,0,15,5
N Djokovic,S Tsitsipas,clay,2,1,15,15,5
N Djokovic,S Tsitsipas,clay,2,2,15,30,5
N Djokovic,S Tsitsipas,clay,2,1,30,30,5
N Djokovic,S Tsitsipas,clay,2,2,30,40,5
N Djokovic,S Tsitsipas,clay,2,1,40,40,5
N Djokovic,S Tsitsipas,clay,2,2,40,AD,5
N Djokovic,S Tsitsipas,clay,2,2,40,GAME,5
N Djokovic,S Tsitsipas,clay,1,1,15,0,5
N Djokovic,S Tsitsipas,clay,1,2,15,15,5
N Djokovic,S Tsitsipas,clay,1,1,30,15,5
N Djokovic,S Tsitsipas,clay,1,2,30,30,5
N Djokovic,S Tsitsipas,clay,1,1,40,30,5
N Djokovic,S Tsitsipas,clay,1,2,40,40,5
N Djokovic,S Tsitsipas,clay,1,1,AD,40,5
N Djokovic,S Tsitsipas,clay,1,1,GAME,40,5
