P1,P2,Surface,PointServer,PointWinner,P1Score,P2Score
J. Sousa,G. Pella,clay,2,2,40,AD
J. Sousa,G. Pella,clay,2,2,0,0
M. Jaziri,M. Youzhny,clay,1,1,15,0
M. Jaziri,M. Youzhny,clay,1,2,15,15
M. Jaziri,M. Youzhny,clay,1,1,30,15
M. Jaziri,M. Youzhny,clay,1,2,30,30
M. Jaziri,M. Youzhny,clay,1,1,40,30
M. Jaziri,M. Youzhny,clay,1,1,0,0
M. Jaziri,M. Youzhny,clay,2,2,0,15
M. Jaziri,M. Youzhny,clay,2,2,0,30
M. Jaziri,M. Youzhny,clay,2,2,0,40
M. Jaziri,M. Youzhny,clay,2,2,0,0
M. Jaziri,M. Youzhny,clay,1,2,0,15
M. Jaziri,M. Youzhny,clay,1,2,0,30
M. Jaziri,M. Youzhny,clay,1,1,15,30
M. Jaziri,M. Youzhny,clay,1,2,15,40
M. Jaziri,M. Youzhny,clay,1,2,0,0
M. Jaziri,M. Youzhny,clay,2,1,15,0
M. Jaziri,M. Youzhny,clay,2,2,15,15
M. Jaziri,M. Youzhny,clay,2,2,15,30
M. Jaziri,M. Youzhny,clay,2,2,15,40
M. Jaziri,M. Youzhny,clay,2,2,0,0
M. Jaziri,M. Youzhny,clay,1,2,0,15
M. Jaziri,M. Youzhny,clay,1,2,0,30
M. Jaziri,M. Youzhny,clay,1,2,0,40
M. Jaziri,M. Youzhny,clay,1,1,15,40
M. Jaziri,M. Youzhny,clay,1,1,30,40
M. Jaziri,M. Youzhny,clay,1,1,40,40
M. Jaziri,M. Youzhny,clay,1,2,40,AD
M. Jaziri,M. Youzhny,clay,1,2,0,0
M. Jaziri,M. Youzhny,clay,2,2,0,15
M. Jaziri,M. Youzhny,clay,2,1,15,15
M. Jaziri,M. Youzhny,clay,2,2,15,30
M. Jaziri,M. Youzhny,clay,2,1,30,30
M. Jaziri,M. Youzhny,clay,2,2,30,40
M. Jaziri,M. Youzhny,clay,2,1,40,40
M. Jaziri,M. Youzhny,clay,2,2,40,AD
M. Jaziri,M. Youzhny,clay,2,1,40,40
M. Jaziri,M. Youzhny,clay,2,1,AD,40
M. Jaziri,M. Youzhny,clay,2,2,40,40
M. Jaziri,M. Youzhny,clay,2,2,40,AD
M. Jaziri,M. Youzhny,clay,2,1,40,40
M. Jaziri,M. Youzhny,clay,2,1,AD,40
M. Jaziri,M. Youzhny,clay,2,2,40,40
M. Jaziri,M. Youzhny,clay,2,1,AD,40
M. Jaziri,M. Youzhny,clay,2,2,40,40
M. Jaziri,M. Youzhny,clay,2,2,40,AD
M. Jaziri,M. Youzhny,clay,2,2,0,0
M. Jaziri,M. Youzhny,clay,1,1,15,0
M. Jaziri,M. Youzhny,clay,1,2,15,15
M. Jaziri,M. Youzhny,clay,1,2,15,30
M. Jaziri,M. Youzhny,clay,1,2,15,40
M. Jaziri,M. Youzhny,clay,1,1,30,40
M. Jaziri,M. Youzhny,clay,1,1,40,40
M. Jaziri,M. Youzhny,clay,1,2,40,AD
M. Jaziri,M. Youzhny,clay,1,1,40,40
M. Jaziri,M. Youzhny,clay,1,2,40,AD
M. Jaziri,M. Youzhny,clay,1,1,40,40
M. Jaziri,M. Youzhny,clay,1,1,AD,40
M. Jaziri,M. Youzhny,clay,1,2,40,40
M. Jaziri,M. Youzhny,clay,1,1,AD,40
M. Jaziri,M. Youzhny,clay,1,1,0,0
M. Jaziri,M. Youzhny,clay,2,2,0,15
M. Jaziri,M. Youzhny,clay,2,1,15,15
M. Jaziri,M. Youzhny,clay,2,1,30,15
M. Jaziri,M. Youzhny,clay,2,1,40,15
M. Jaziri,M. Youzhny,clay,2,2,40,30
M. Jaziri,M. Youzhny,clay,2,2,40,40
M. Jaziri,M. Youzhny,clay,2,1,AD,40
M. Jaziri,M. Youzhny,clay,2,2,40,40
M. Jaziri,M. Youzhny,clay,2,2,40,AD
M. Jaziri,M. Youzhny,clay,2,2,0,0
M. Jaziri,M. Youzhny,clay,1,1,15,0
M. Jaziri,M. Youzhny,clay,1,2,15,15
M. Jaziri,M. Youzhny,clay,1,1,30,15
M. Jaziri,M. Youzhny,clay,1,2,30,30
M. Jaziri,M. Youzhny,clay,1,1,40,30
M. Jaziri,M. Youzhny,clay,1,1,0,0
M. Jaziri,M. Youzhny,clay,2,1,15,0
M. Jaziri,M. Youzhny,clay,2,1,30,0
M. Jaziri,M. Youzhny,clay,2,1,40,0
M. Jaziri,M. Youzhny,clay,2,1,0,0
M. Jaziri,M. Youzhny,clay,1,1,15,0
M. Jaziri,M. Youzhny,clay,1,1,30,0
M. Jaziri,M. Youzhny,clay,1,1,40,0
M. Jaziri,M. Youzhny,clay,1,2,40,15
M. Jaziri,M. Youzhny,clay,1,2,40,30
M. Jaziri,M. Youzhny,clay,1,2,40,40
M. Jaziri,M. Youzhny,clay,1,2,40,AD
M. Jaziri,M. Youzhny,clay,1,1,40,40
M. Jaziri,M. Youzhny,clay,1,1,AD,40
M. Jaziri,M. Youzhny,clay,1,1,0,0
M. Jaziri,M. Youzhny,clay,2,2,0,15
M. Jaziri,M. Youzhny,clay,2,2,0,30
M. Jaziri,M. Youzhny,clay,2,1,15,30
M. Jaziri,M. Youzhny,clay,2,2,15,40
M. Jaziri,M. Youzhny,clay,2,2,0,0
M. Jaziri,M. Youzhny,clay,1,1,15,0
M. Jaziri,M. Youzhny,clay,1,2,15,15
M. Jaziri,M. Youzhny,clay,1,2,15,30
M. Jaziri,M. Youzhny,clay,1,1,30,30
M. Jaziri,M. Youzhny,clay,1,1,40,30
M. Jaziri,M. Youzhny,clay,1,2,40,40
M. Jaziri,M. Youzhny,clay,1,1,AD,40
M. Jaziri,M. Youzhny,clay,1,2,40,40
M. Jaziri,M. Youzhny,clay,1,1,AD,40
M. Jaziri,M. Youzhny,clay,1,1,0,0
M. Jaziri,M. Youzhny,clay,2,2,0,15
M. Jaziri,M. Youzhny,clay,2,2,0,30
M. Jaziri,M. Youzhny,clay,2,1,15,30
M. Jaziri,M. Youzhny,clay,2,2,15,40
M. Jaziri,M. Youzhny,clay,2,2,0,0
M. Jaziri,M. Youzhny,clay,1,1,15,0
M. Jaziri,M. Youzhny,clay,1,1,30,0
M. Jaziri,M. Youzhny,clay,1,2,30,15
M. Jaziri,M. Youzhny,clay,1,1,40,15
M. Jaziri,M. Youzhny,clay,1,1,0,0
M. Jaziri,M. Youzhny,clay,2,1,15,0
M. Jaziri,M. Youzhny,clay,2,1,30,0
M. Jaziri,M. Youzhny,clay,2,1,40,0
M. Jaziri,M. Youzhny,clay,2,2,40,15
M. Jaziri,M. Youzhny,clay,2,2,40,30
M. Jaziri,M. Youzhny,clay,2,2,40,40
M. Jaziri,M. Youzhny,clay,2,2,40,AD
M. Jaziri,M. Youzhny,clay,2,1,40,40
M. Jaziri,M. Youzhny,clay,2,2,40,AD
M. Jaziri,M. Youzhny,clay,2,1,40,40
M. Jaziri,M. Youzhny,clay,2,1,AD,40
M. Jaziri,M. Youzhny,clay,2,1,0,0
M. Jaziri,M. Youzhny,clay,1,1,15,0
M. Jaziri,M. Youzhny,clay,1,2,15,15
M. Jaziri,M. Youzhny,clay,1,1,30,15
M. Jaziri,M. Youzhny,clay,1,1,40,15
M. Jaziri,M. Youzhny,clay,1,2,40,30
M. Jaziri,M. Youzhny,clay,1,1,0,0
M. Jaziri,M. Youzhny,clay,2,2,0,15
M. Jaziri,M. Youzhny,clay,2,2,0,30
M. Jaziri,M. Youzhny,clay,2,1,15,30
M. Jaziri,M. Youzhny,clay,2,1,30,30
M. Jaziri,M. Youzhny,clay,2,1,40,30
M. Jaziri,M. Youzhny,clay,2,2,40,40
M. Jaziri,M. Youzhny,clay,2,2,40,AD
M. Jaziri,M. Youzhny,clay,2,1,40,40
M. Jaziri,M. Youzhny,clay,2,1,AD,40
M. Jaziri,M. Youzhny,clay,2,1,0,0
M. Jaziri,M. Youzhny,clay,1,1,15,0
M. Jaziri,M. Youzhny,clay,1,2,15,15
M. Jaziri,M. Youzhny,clay,1,1,30,15
M. Jaziri,M. Youzhny,clay,1,1,40,15
M. Jaziri,M. Youzhny,clay,1,1,0,0
M. Jaziri,M. Youzhny,clay,2,2,0,15
M. Jaziri,M. Youzhny,clay,2,2,0,30
M. Jaziri,M. Youzhny,clay,2,2,0,40
M. Jaziri,M. Youzhny,clay,2,2,0,0
M. Jaziri,M. Youzhny,clay,1,2,0,15
M. Jaziri,M. Youzhny,clay,1,1,15,15
M. Jaziri,M. Youzhny,clay,1,1,30,15
M. Jaziri,M. Youzhny,clay,1,1,40,15
