P1,P2,Surface,PointServer,PointWinner,P1Score,P2Score
R. Nadal,V. Estrella Burgos,hard,1,1,15,0
R. Nadal,V. Estrella Burgos,hard,1,1,30,0
R. Nadal,V. Estrella Burgos,hard,1,1,40,0
R. Nadal,V. Estrella Burgos,hard,1,1,0,0
R. Nadal,V. Estrella Burgos,hard,2,2,0,15
R. Nadal,V. Estrella Burgos,hard,2,1,15,15
R. Nadal,V. Estrella Burgos,hard,2,1,30,15
R. Nadal,V. Estrella Burgos,hard,2,1,40,15
R. Nadal,V. Estrella Burgos,hard,2,2,40,30
R. Nadal,V. Estrella Burgos,hard,2,1,0,0
R. Nadal,V. Estrella Burgos,hard,1,1,15,0
R. Nadal,V. Estrella Burgos,hard,1,2,15,15
R. Nadal,V. Estrella Burgos,hard,1,1,30,15
R. Nadal,V. Estrella Burgos,hard,1,1,40,15
R. Nadal,V. Estrella Burgos,hard,1,1,0,0
R. Nadal,V. Estrella Burgos,hard,2,2,0,15
R. Nadal,V. Estrella Burgos,hard,2,1,15,15
R. Nadal,V. Estrella Burgos,hard,2,1,30,15
R. Nadal,V. Estrella Burgos,hard,2,1,40,15
R. Nadal,V. Estrella Burgos,hard,2,2,40,30
R. Nadal,V. Estrella Burgos,hard,2,1,0,0
R. Nadal,V. Estrella Burgos,hard,1,1,15,0
R. Nadal,V. Estrella Burgos,hard,1,1,30,0
R. Nadal,V. Estrella Burgos,hard,1,1,40,0
R. Nadal,V. Estrella Burgos,hard,1,2,40,15
R. Nadal,V. Estrella Burgos,hard,1,1,0,0
R. Nadal,V. Estrella Burgos,hard,2,2,0,15
R. Nadal,V. Estrella Burgos,hard,2,1,15,15
R. Nadal,V. Estrella Burgos,hard,2,2,15,30
R. Nadal,V. Estrella Burgos,hard,2,2,15,40
R. Nadal,V. Estrella Burgos,hard,2,2,0,0
R. Nadal,V. Estrella Burgos,hard,1,2,0,15
R. Nadal,V. Estrella Burgos,hard,1,1,15,15
R. Nadal,V. Estrella Burgos,hard,1,1,30,15
R. Nadal,V. Estrella Burgos,hard,1,1,40,15
R. Nadal,V. Estrella Burgos,hard,1,1,0,0
R. Nadal,V. Estrella Burgos,hard,2,1,15,0
R. Nadal,V. Estrella Burgos,hard,2,2,15,15
R. Nadal,V. Estrella Burgos,hard,2,2,15,30
R. Nadal,V. Estrella Burgos,hard,2,1,30,30
R. Nadal,V. Estrella Burgos,hard,2,1,40,30
R. Nadal,V. Estrella Burgos,hard,2,1,0,0
R. Nadal,V. Estrella Burgos,hard,1,1,15,0
R. Nadal,V. Estrella Burgos,hard,1,1,30,0
R. Nadal,V. Estrella Burgos,hard,1,2,30,15
R. Nadal,V. Estrella Burgos,hard,1,1,40,15
R. Nadal,V. Estrella Burgos,hard,1,1,0,0
R. Nadal,V. Estrella Burgos,hard,2,1,15,0
R. Nadal,V. Estrella Burgos,hard,2,2,15,15
R. Nadal,V. Estrella Burgos,hard,2,1,30,15
R. Nadal,V. Estrella Burgos,hard,2,1,40,15
R. Nadal,V. Estrella Burgos,hard,2,2,40,30
R. Nadal,V. Estrella Burgos,hard,2,1,0,0
R. Nadal,V. Estrella Burgos,hard,1,1,15,0
R. Nadal,V. Estrella Burgos,hard,1,1,30,0
R. Nadal,V. Estrella Burgos,hard,1,1,40,0
R. Nadal,V. Estrella Burgos,hard,1,1,0,0
R. Nadal,V. Estrella Burgos,hard,2,2,0,15
R. Nadal,V. Estrella Burgos,hard,2,1,15,15
R. Nadal,V. Estrella Burgos,hard,2,2,15,30
R. Nadal,V. Estrella Burgos,hard,2,1,30,30
R. Nadal,V. Estrella Burgos,hard,2,1,40,30
R. Nadal,V. Estrella Burgos,hard,2,2,40,40
R. Nadal,V. Estrella Burgos,hard,2,1,AD,40
R. Nadal,V. Estrella Burgos,hard,2,1,0,0
R. Nadal,V. Estrella Burgos,hard,1,2,0,15
R. Nadal,V. Estrella Burgos,hard,1,1,15,15
R. Nadal,V. Estrella Burgos,hard,1,2,15,30
